source_id,city,area,rooms,floor,floor_count,year_built,has_parking,has_balcony,has_elevator,price,price_per_sqm,city_median_price_per_sqm,price_difference_pct,price_rating
7926a70469501f2f45e803f62e071916,Szczecin,30.0,1,3,3,1970,False,False,False,275000,9166.666666666666,7989.845360824743,14.728962235139509,Powyżej średniej
c75100226925834ca1430b923c7aaaa3,Szczecin,47.33,2,3,3,1920,True,True,False,345000,7289.245721529685,7989.845360824743,-8.768625770032912,W średniej
97b0e34e086b7488c4cd1a334ca8763d,Szczecin,52.0,2,,2,1930,False,False,False,499000,9596.153846153846,7989.845360824743,20.104375151051656,Powyżej średniej
0de403216188de8245caed329bf6b1b8,Szczecin,72.93,3,4,4,1990,False,True,False,555000,7610.037021801727,7989.845360824743,-4.753638172839558,W średniej
ec2bc4f41ac20c9a5faadb4dbd87c665,Szczecin,38.66,2,,3,1990,True,False,False,275000,7113.29539575789,7989.845360824743,-10.970800127931035,Atrakcyjna
cc50c90ead71f1a0c4be31434474d934,Szczecin,44.74,3,2,3,1935,False,False,False,332000,7420.652659812248,7989.845360824743,-7.12395140716141,W średniej
b345fbe27abf0be10053e2c8728d97ba,Szczecin,80.0,3,,1,1936,True,False,False,680000,8500.0,7989.845360824743,6.385037708947561,W średniej
23787f7159b085ad5fd0583386c6a83f,Szczecin,72.55,4,3,4,1930,False,False,,529000,7291.523087525845,7989.845360824743,-8.740122515047199,W średniej
cbb395e455ec52f2826d5a6e39de27a7,Szczecin,52.85,3,2,3,1930,False,False,False,369000,6982.0245979186375,7989.845360824743,-12.613770572426631,Atrakcyjna
4ea968e33888f508a37333c036a07e69,Szczecin,73.34,3,1,4,1950,True,False,False,618000,8426.506681210798,7989.845360824743,5.465203651212858,W średniej
ae0c2e61715a9f5c3c586d3d4c9d957a,Szczecin,74.0,3,4,4,1990,False,True,False,567000,7662.1621621621625,7989.845360824743,-4.1012458172126065,W średniej
2f2d8021354133248eb01fcf6b3900d8,Szczecin,97.12,3,1,1,1930,True,False,False,864368,8900.0,7989.845360824743,11.391392424662738,Powyżej średniej
96fedbbc1379d44076be5a14d4fe4927,Szczecin,106.39,5,3,3,1930,False,False,False,599000,5630.228404925275,7989.845360824743,-29.532698686121993,Atrakcyjna
79d02b6f969ae0d89d9b047c39a971c5,Szczecin,87.6,4,4,4,2010,True,False,True,572000,6529.680365296804,7989.845360824743,-18.27525977770883,Atrakcyjna
33c1101cc1da505979fc97e55ed01046,Szczecin,101.0,3,3,4,1930,False,True,False,559000,5534.653465346535,7989.845360824743,-30.728903809782537,Atrakcyjna
952d436fc41e8754239daa31036b6dc2,Szczecin,49.41,2,2,4,1930,False,False,,319000,6456.182958915199,7989.845360824743,-19.195144995287283,Atrakcyjna
2a488a349f7e0bfe8fd02bb0b19dc3e5,Szczecin,48.7,3,4,4,1980,False,False,,399000,8193.018480492812,7989.845360824743,2.542891764392019,W średniej
a38e9f40ae6c0e1732f2052d68a81a3b,Szczecin,63.2,3,4,5,2000,False,False,False,499000,7895.569620253164,7989.845360824743,-1.1799444959701533,W średniej
c0b6f48d5715b4e2bb2364d21cdf2d63,Szczecin,42.0,2,2,4,1997,False,True,False,345000,8214.285714285714,7989.845360824743,2.8090700548652814,W średniej
b0aa9b6a7a3ab17a67cafb4a8ec79dd4,Szczecin,104.0,4,1,4,1930,False,False,False,670000,6442.307692307692,7989.845360824743,-19.368806261318028,Atrakcyjna
8bebc86524e4cf63a85e63d09f4bb02b,Szczecin,68.15,3,,2,1930,True,True,False,650000,9537.784299339692,7989.845360824743,19.373828511183653,Powyżej średniej
4e679733445ed71e835415cc1501ea39,Szczecin,101.0,3,3,4,1930,False,True,False,559000,5534.653465346535,7989.845360824743,-30.728903809782537,Atrakcyjna
c0071d15f50330317393035076e4dd3d,Szczecin,77.86,4,4,4,1991,True,True,False,480000,6164.911379398921,7989.845360824743,-22.84066710945011,Atrakcyjna
209a6d2dea99216bdf83a968343cd3b3,Szczecin,61.48,2,,3,1900,False,False,False,390000,6343.526350032531,7989.845360824743,-20.60514235812785,Atrakcyjna
52b77ce251a47b823489fc1fbf54ce99,Szczecin,91.0,4,,2,1934,True,True,False,970000,10659.34065934066,7989.845360824743,33.41110094076165,Powyżej średniej
8ac555da0419bdf36527382da4621954,Szczecin,82.2,4,6,11,1989,False,True,True,659000,8017.031630170316,7989.845360824743,0.34026026935227716,W średniej
